 0.662	24.073	 0.445	 0.084	10.416	1
 0.838	24.338	-1.314	-0.090	 9.642	1
 0.622	23.581	-0.297	-0.044	 7.542	1
 0.371	22.463	-0.862	-0.014	10.809	1
 0.417	22.547	 0.385	-0.050	10.235	1
 0.359	22.425	 0.094	 0.061	 8.386	1
 0.452	22.903	-1.588	 0.028	10.246	1
 0.523	23.329	 1.140	 0.018	 9.326	1
 0.734	24.212	-1.352	-0.141	 8.834	1
 0.702	24.227	-1.908	 0.041	 6.000	1
 0.742	24.094	 0.358	-0.202	10.991	1
 0.746	23.856	 0.789	-0.024	 6.000	1
 0.350	22.510	-1.797	 0.085	10.960	1
 0.592	23.386	 1.581	 0.023	 9.097	1
 0.515	23.777	 1.541	 0.156	 9.548	1
 0.621	23.784	-0.677	-0.028	 9.517	1
 0.644	23.786	-0.205	-0.028	 9.980	1
 1.003	25.039	 0.672	-0.016	 9.480	1
 0.471	23.532	-2.069	 0.106	 6.000	1
 0.611	23.560	-0.831	-0.119	10.485	1
 0.263	21.666	-1.083	 0.027	10.290	1
 0.358	22.516	-0.387	 0.079	10.189	1
 0.743	24.096	-0.430	-0.041	 9.299	1
 0.452	23.242	-0.214	 0.191	11.340	1
 0.911	24.654	-0.449	-0.146	 6.000	1
 0.553	23.488	-0.574	 0.074	10.790	1
 0.338	21.966	 1.232	-0.019	 9.287	1
 0.751	23.809	 0.624	-0.030	 8.459	1
 0.984	24.983	-1.386	 0.009	 8.895	1
 0.823	24.373	-0.557	-0.125	11.111	1
 0.814	24.297	-0.269	-0.147	 9.719	1
 0.951	24.596	 1.170	-0.137	 9.882	1
 0.818	24.272	 1.190	-0.083	 9.127	1
 0.341	22.137	 0.612	-0.004	 9.356	1
 0.961	24.587	 0.201	 0.027	 6.000	1
 0.811	24.234	-0.075	-0.015	10.032	1
 0.757	24.055	-1.003	-0.246	 7.492	1
 0.611	24.015	-0.361	 0.020	10.541	1
 0.878	24.329	 1.742	-0.113	 7.844	1
 0.548	23.337	 0.649	 0.101	 8.706	1
 0.809	24.395	-0.266	 0.003	 8.977	1
 1.029	24.589	 1.103	-0.142	10.785	1
 0.627	23.513	 0.954	-0.034	 8.305	1
 0.422	22.726	 1.237	 0.083	10.057	1
 0.934	24.816	 0.846	 0.039	 8.528	1
 0.701	23.921	 0.015	-0.108	 9.475	1
 0.697	23.589	 0.976	-0.138	10.994	1
 0.685	24.118	-0.866	-0.011	 9.325	1
 0.767	24.198	 0.681	-0.174	10.324	1
 0.932	24.399	 0.318	-0.214	10.855	1
 0.864	24.398	 1.338	-0.007	10.931	1
 0.749	23.830	 0.937	 0.033	11.199	1
 0.514	22.881	 1.531	-0.070	 9.101	1
 0.468	22.635	 1.528	-0.063	 8.024	1
 0.470	23.759	 0.448	 0.153	 9.239	1
 0.959	24.773	-0.702	-0.200	11.226	1
 0.928	24.760	 0.086	-0.114	 8.357	1
 0.841	24.254	 1.862	-0.013	 8.631	1
 0.631	23.701	-0.247	 0.001	10.111	1
 0.563	23.507	-0.148	-0.009	 9.316	1
 0.616	24.071	-0.095	 0.109	 9.724	1
 0.829	24.362	 2.292	-0.067	 8.420	1
 0.565	23.285	 1.230	-0.021	10.234	1
 0.579	23.279	 0.651	-0.045	 9.416	1
 0.558	23.522	-0.594	 0.000	10.973	1
 0.864	24.277	 0.231	-0.142	11.043	1
 0.736	24.300	-1.464	-0.052	11.125	1
 0.859	24.622	 0.414	 0.075	10.379	1
 0.262	21.190	 1.380	-0.010	 8.930	1
 0.586	24.088	 1.097	 0.148	 9.854	1
 0.762	24.040	 0.177	-0.057	 6.000	1
 0.489	22.868	 0.545	-0.068	 7.466	1
 0.859	24.427	 1.158	-0.137	 8.911	1
 0.689	23.604	 0.228	-0.108	 8.851	1
 0.559	24.149	 0.658	 0.133	 8.425	1
 0.325	21.993	-0.147	-0.040	10.098	1
 0.481	22.671	 1.124	-0.054	11.153	1
 0.185	20.759	-0.075	 0.001	 9.210	1
 0.922	24.664	-0.434	 0.027	10.277	1
 0.682	23.499	 0.541	-0.151	 6.000	1
 0.476	22.715	-0.007	-0.104	 8.838	1
 0.922	24.380	-0.311	-0.138	 9.144	1
 0.893	24.576	 1.324	-0.028	 9.413	1
 0.429	23.397	 0.901	 0.159	 9.534	1
 0.632	23.606	-0.931	 0.078	10.977	1
 0.700	24.456	-2.642	 0.006	10.941	1
 0.736	24.384	 0.320	 0.099	 9.761	1
 0.576	23.653	 0.172	 0.034	10.244	1
 0.419	22.469	 1.143	-0.013	 8.815	1
 0.512	22.907	 1.238	-0.117	 7.738	1
 0.536	22.992	 0.881	-0.056	 8.676	1
 0.642	23.678	-0.211	-0.103	 9.997	1
 0.735	24.001	 0.836	-0.076	10.875	1
 0.352	22.685	-0.674	 0.037	10.977	1
 0.610	23.928	 0.149	 0.064	 9.418	1
 0.350	22.228	-0.090	-0.075	 9.287	1
 0.702	23.958	 0.509	-0.013	 8.033	1
 0.355	22.387	 1.277	 0.014	 8.657	1
 0.983	24.667	 1.177	-0.036	10.595	1
 0.872	24.427	-0.743	-0.196	 6.000	1
 0.759	24.107	 1.513	-0.013	 9.054	1
 0.926	24.811	 1.139	 0.056	 8.557	1
 0.644	23.615	 0.591	-0.063	 8.442	1
 0.420	22.938	-0.258	 0.008	 9.609	1
 0.516	23.621	 2.120	 0.167	10.011	1
 0.891	24.224	-0.725	-0.207	 8.876	1
 0.806	23.903	 0.669	-0.161	 9.839	1
 0.481	22.949	-0.207	-0.029	11.222	1
 0.801	24.208	 0.087	 0.121	 6.000	1
 0.581	23.517	-0.458	-0.062	 9.015	1
 0.716	23.992	-0.806	-0.064	10.726	1
 0.806	24.394	-0.186	 0.089	11.164	1
 0.767	24.299	 0.502	-0.003	10.400	1
 0.665	23.513	 0.558	-0.175	 9.004	1
 0.902	24.408	 0.902	-0.154	 9.661	1
 0.746	23.920	 0.939	-0.063	10.471	1
 0.719	23.724	-0.614	-0.138	10.815	1
 0.737	23.692	 0.774	-0.132	 9.457	1
 0.580	23.295	 1.489	 0.002	 8.832	1
 0.371	22.629	-0.893	 0.049	 8.008	1
 0.961	24.719	 0.378	-0.159	 6.000	1
 0.851	24.140	 1.278	-0.145	10.620	1
 0.649	23.975	-0.450	 0.057	 9.138	1
 0.219	20.852	 0.699	-0.040	10.630	1
 0.937	24.494	-0.192	-0.103	 9.599	1
 0.648	23.899	 0.310	 0.033	 8.931	1
 0.462	22.975	-0.748	-0.046	10.777	1
 0.601	23.845	 0.178	 0.106	10.873	1
 0.671	24.064	 0.571	 0.054	10.078	1
 0.761	24.032	-0.120	-0.041	10.432	1
 0.246	21.506	-0.684	 0.000	10.723	1
 0.471	23.023	-1.668	-0.078	10.788	1
 0.169	20.293	-1.464	-0.143	11.133	1
 0.497	23.103	 0.145	-0.026	 8.986	1
 0.638	23.888	 0.489	 0.096	 8.381	1
 0.507	23.559	 0.885	 0.168	10.285	1
 0.535	22.872	 0.908	-0.145	 9.440	1
 0.587	23.614	 0.086	-0.006	10.230	1
 0.773	24.049	 1.040	-0.140	 9.109	1
 0.699	24.107	 0.169	 0.060	 9.265	1
 0.371	22.212	 0.254	-0.066	 9.047	1
 0.761	24.082	 1.043	-0.017	10.461	1
 0.699	23.733	 0.688	-0.122	10.554	1
 0.788	23.976	 1.396	-0.109	 8.980	1
 0.374	22.145	-0.833	-0.129	10.503	1
 0.405	22.802	-0.989	-0.048	10.429	1
 0.853	24.433	 0.333	-0.008	 9.994	1
 0.808	24.608	-0.415	-0.126	 8.321	1
 0.603	23.829	-1.558	-0.066	10.437	1
 0.583	23.713	 0.227	-0.026	10.133	1
 0.534	23.295	 0.263	 0.070	10.855	1
 0.720	24.235	-1.102	-0.027	10.883	1
 0.400	22.587	-0.725	-0.005	10.543	1
 0.837	24.189	 0.283	-0.158	11.277	1
 0.372	22.438	-0.701	-0.051	 8.381	1
